Faculty,Department,UTME_Score,Screening_Score,Olevel_Valid,olevel_avg_points,admitted_numeric
Education,Social Studies,350,76.5,0,4.8,0
Law,Law,157,47.55,0,4.8,0
Medicine,Anatomy,149,42.35,0,4.0,0
Medicine,Physiology,359,80.85,1,5.4,1
Engineering,Computer Engineering,248,62.2,0,5.0,0
Science,Statistics,396,73.4,0,2.8,0
Engineering,Electrical/Electronic Engineering,329,71.35,1,4.4,1
Medicine,Nursing,388,76.2,0,3.6,0
Law,Law,250,71.5,1,6.8,1
Education,Physics Education,258,65.7,1,5.4,1
Arts,Religious Studies,266,65.9,1,5.2,1
Agricultural Science,Forestry Resources and Wildlife Management,168,53.2,0,5.6,0
Arts,Philosophy,256,61.4,1,4.6,1
Social Sciences,Geography and Planning Science,185,53.75,0,5.2,0
Management Sciences,Industrial Relations and Personnel Management,220,62.0,1,5.8,1
Law,Law,325,74.75,0,5.2,0
Education,Library and Information Science,223,52.45,0,3.8,0
Social Sciences,Sociology,263,61.45,0,4.4,0
Agricultural Science,"Crop, Horticulture and Landscape Design",333,81.95,1,6.4,1
Science,Computer Science,281,71.15,0,5.8,0
Science,Geo-Physics,176,57.4,1,6.2,1
Agricultural Science,Soil Resources and Environmental Management,234,49.1,0,2.8,0
Education,Economics Education,358,83.7,1,6.0,1
Arts,Theatre and Media Arts,348,70.2,1,3.6,1
Agricultural Science,Agricultural Economics and Extension Services,169,44.35,0,3.8,0
Social Sciences,Geography and Planning Science,289,68.35,0,5.0,0
Engineering,Computer Engineering,194,52.1,1,4.6,1
Education,Business Education - Accounting,220,55.0,1,4.4,1
Medicine,Anatomy,214,54.1,0,4.4,0
Management Sciences,Insurance,280,69.0,0,5.4,0
Medicine,Anatomy,381,86.15,1,5.8,1
Social Sciences,Political Science,154,38.1,0,3.0,0
Medicine,Nursing,298,70.7,0,5.2,0
Science,Computer Science,191,48.65,1,4.0,0
Arts,Theatre and Media Arts,271,64.65,0,4.8,0
Law,Law,204,52.6,0,4.4,0
Law,Law,248,64.2,0,5.4,0
Engineering,Computer Engineering,280,57.0,0,3.0,0
Arts,French,141,40.15,0,3.8,0
Medicine,Nursing,366,79.9,0,5.0,0
Medicine,Nursing,284,61.6,0,3.8,0
Education,Basic/Integrated Science Education,298,66.7,0,4.4,0
Science,Mathematics,274,70.1,1,5.8,1
Social Sciences,Political Science,351,79.65,1,5.4,1
Education,Geography Education,280,68.0,0,5.2,0
Social Sciences,Political Science,383,78.45,0,4.2,0
Law,Law,182,49.3,0,4.4,0
Management Sciences,Accounting,145,46.75,0,5.0,0
Arts,History & International Studies,337,75.55,0,5.0,0
Education,Business Education - Office Management,167,55.05,1,6.0,1
Engineering,Electrical/Electronic Engineering,214,59.1,1,5.4,1
Arts,Theatre and Media Arts,186,43.9,0,3.2,0
Management Sciences,Marketing,260,61.0,0,4.4,0
Agricultural Science,Forestry Resources and Wildlife Management,396,87.4,1,5.6,1
Agricultural Science,Agricultural Economics and Extension Services,194,56.1,0,5.4,0
Medicine,Medicine and Surgery,324,78.6,1,6.0,1
Medicine,Physiology,366,83.9,0,5.8,0
Engineering,Computer Engineering,365,79.75,1,5.0,1
Education,Business Education - Marketing,185,47.75,0,4.0,0
Science,Mathematics,187,53.05,1,5.0,1
Law,Law,380,77.0,0,4.0,0
Social Sciences,Geography and Planning Science,295,76.25,1,6.4,1
Engineering,Civil Engineering,312,74.8,1,5.6,1
Medicine,Physiology,214,52.1,0,4.0,0
Medicine,Physiology,320,72.0,0,4.8,0
Agricultural Science,"Crop, Horticulture and Landscape Design",302,69.3,0,4.8,0
Engineering,Civil Engineering,233,58.95,0,4.8,0
Social Sciences,Geography and Planning Science,339,74.85,0,4.8,0
Arts,English & Literary Studies,273,70.95,1,6.0,1
Medicine,Nursing,285,68.75,1,5.2,1
Medicine,Physiology,355,80.25,1,5.4,1
Law,Law,186,49.9,0,4.4,0
Law,Law,302,69.3,0,4.8,0
Management Sciences,Entrepreneurship,398,83.7,0,4.8,0
Education,Computer Science Education,392,87.8,1,5.8,1
Education,"Test, Measurement and Evaluation",242,62.3,0,5.2,0
Social Sciences,Tourism Studies,290,62.5,0,3.8,0
Medicine,Medicine and Surgery,304,68.6,1,4.6,1
Arts,History & International Studies,161,51.15,1,5.4,1
Social Sciences,Psychology,224,59.6,0,5.2,0
Management Sciences,Industrial Relations and Personnel Management,221,58.15,1,5.0,1
Medicine,Nursing,230,62.5,1,5.6,1
Education,Business Education - Accounting,258,68.7,1,6.0,1
Arts,Christian Religious Studies,310,82.5,1,7.2,1
Engineering,Civil Engineering,316,73.4,0,5.2,0
Law,Law,290,68.5,0,5.0,0
Engineering,Computer Engineering,238,55.7,0,4.0,0
