Faculty,Department,UTME_Score,UTME_Cutoff,Aggregate_Score,Aggregate_Cutoff,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Management Sciences,Accounting,337,200,71.55,55.0,True,1,admitted,"B3, C5, C6, C5, C5"
Environmental Design and Management,Architecture,317,210,58.55,66.25,True,2,not admitted,"C4, C6, C6, C6, B2"
Arts,Linguistics and Language,296,150,69.4,55.0,True,1,admitted,"C4, C4, C6, B3, B3"
Engineering,Computer Engineering,345,200,70.75,64.3,True,2,admitted,"A1, C6, C5, A1, B3"
Basic Medical Science,Physiology,151,180,35.65,61.5,True,2,not admitted,"B2, C5, C5, C6, C4"
Basic Medical Science,Radiology and Radiography,262,200,60.3,71.3,True,2,not admitted,"A1, A1, C5, B2, C5"
Pharmacy,Doctor of Pharmacy,333,240,81.95,55.0,True,1,admitted,"C5, A1, A1, C4, B2"
Law,Law,331,240,73.65,55.0,True,1,admitted,"C4, B3, C6, B3, C5"
Pharmacy,Doctor of Pharmacy,241,240,65.15,55.0,True,1,admitted,"B2, B3, C6, C4, A1"
Pharmacy,Doctor of Pharmacy,324,240,79.6,55.0,True,1,admitted,"A1, A1, B2, C5, C5"
Environmental Design and Management,Survey and Geo-informatics,166,150,44.9,55.0,True,2,not admitted,"B3, B3, C4, A1, C4"
Communications and Media Studies,Pulic Relations,165,150,42.75,55.0,True,2,not admitted,"B2, B3, B3, C6, B3"
Pharmacy,Doctor of Pharmacy,331,240,77.65,55.0,True,1,admitted,"A1, C5, B2, C5, C4"
Basic Medical Science,Radiology and Radiography,215,200,49.25,71.3,True,1,not admitted,"C5, C5, C6, C6, C6"
Social Sciences,Demography and Social Statistics,282,150,70.3,60.5,True,1,admitted,"C6, B3, C5, B2, A1"
Pharmacy,Doctor of Pharmacy,234,240,60.1,55.0,True,1,not admitted,"C5, C6, B3, C4, B2"
Communications and Media Studies,Mass Communication,169,220,53.35,66.3,True,1,not admitted,"C5, B3, C4, B3, B2"
Pharmacy,Doctor of Pharmacy,312,240,65.8,55.0,True,2,admitted,"A1, C5, B2, B3, C5"
Environmental Design and Management,Architecture,268,210,58.2,66.25,True,2,not admitted,"A1, B2, C5, C5, C4"
Pharmacy,Doctor of Pharmacy,346,240,67.9,55.0,True,2,admitted,"B3, C6, A1, C4, C5"
Engineering,Computer Engineering,205,200,54.75,64.3,True,1,not admitted,"C4, C4, C4, C6, B3"
Education,Human Kinetics,338,150,76.7,54.9,True,1,admitted,"A1, B3, C5, C6, C4"
Arts,Theatre and Media Arts,242,200,61.3,65.8,True,2,not admitted,"B3, A1, A1, B2, B3"
Agriculture,Water Resources Management and Agrometeorology,330,150,71.5,55.0,True,1,admitted,"C4, C6, C5, C6, B2"
Social Sciences,Geography,284,150,53.6,55.0,True,2,not admitted,"C4, C5, C5, C5, C5"
Law,Law,253,240,57.95,55.0,True,2,admitted,"C4, A1, A1, C6, B3"
Arts,Theatre and Media Arts,238,200,49.7,65.8,True,2,not admitted,"C6, A1, C4, C4, C6"
Pharmacy,Doctor of Pharmacy,287,240,66.05,55.0,True,1,admitted,"C6, C6, B2, B3, C5"
Engineering,Meterials and Metallurgical Engineering,155,150,39.25,55.0,True,2,not admitted,"C6, C4, B2, A1, C6"
Science,Botany,156,150,40.4,53.5,True,2,not admitted,"C6, C6, B2, B3, A1"
Education,Physics Education,306,150,66.9,53.6,True,2,admitted,"B2, B2, B3, B2, C5"
Communications and Media Studies,Broadcasting,208,150,57.2,64.0,True,1,not admitted,"B2, C5, B3, C6, B3"
Law,Law,243,240,57.45,55.0,True,2,admitted,"B3, B2, C4, A1, C4"
Agriculture,Soil Science and Land Resources Management,170,150,40.5,55.0,True,2,not admitted,"C4, C5, B3, C5, B3"
Social Sciences,Psychology,291,150,60.65,64.5,True,2,not admitted,"A1, C5, B3, B3, C6"
College of Medicine,Medicine and Surgery,170,260,54.5,55.0,True,1,not admitted,"B2, B3, A1, C5, C5"
Pharmacy,Doctor of Pharmacy,247,240,62.05,55.0,True,1,admitted,"B2, C6, C5, A1, C6"
Management Sciences,Business Administration,343,200,81.45,55.0,True,1,admitted,"A1, C6, A1, A1, C6"
Pharmacy,Doctor of Pharmacy,182,240,46.3,55.0,True,2,not admitted,"B3, B3, B2, C4, C4"
Law,Law,205,240,61.75,55.0,True,1,not admitted,"B3, C4, B3, B3, A1"
Law,Law,171,240,41.65,55.0,True,2,not admitted,"B2, C5, C6, B2, C4"
Engineering,Computer Engineering,318,200,82.7,64.3,True,1,admitted,"C5, A1, B2, A1, A1"
Science,Statistics,273,150,55.95,54.5,True,2,admitted,"A1, C6, C5, B2, C6"
Education,Biology Education,338,150,55.7,55.0,True,2,admitted,"C6, C6, C6, C6, C6"
College of Medicine,Medicine and Surgery,197,260,47.55,55.0,True,2,not admitted,"B2, C5, C5, A1, C4"
Communications and Media Studies,Broadcasting,146,150,50.9,64.0,True,1,not admitted,"B2, B2, C4, B3, C5"
Social Sciences,Political Science,184,180,56.6,62.5,True,1,not admitted,"B2, B2, B3, C6, B3"
Pharmacy,Doctor of Pharmacy,182,240,59.3,55.0,True,1,not admitted,"A1, A1, C5, C5, A1"
Agriculture,Water Resources Management and Agrometeorology,348,150,65.2,55.0,True,2,admitted,"C5, C4, C5, C5, B3"
College of Medicine,Medicine and Surgery,220,260,49.0,55.0,True,2,not admitted,"C4, C4, B3, C6, B2"
