Faculty,Department,UTME_Score,UTME_Cutoff,Aggregate_Score,Aggregate_Cutoff,utme_gap,aggregate_gap,Olevel_Valid,olevel_avg_points,admitted_numeric
Management Sciences,Accounting,337,200,71.55,55.0,137,16.55,1,2.2,1
Environmental Design and Management,Architecture,317,210,58.55,66.25,107,-7.7,1,2.2,0
Arts,Linguistics and Language,296,150,69.4,55.0,146,14.4,1,3.0,1
Engineering,Computer Engineering,345,200,70.75,64.3,145,6.45,1,3.8,1
Basic Medical Science,Physiology,151,180,35.65,61.5,-29,-25.85,1,2.6,0
Basic Medical Science,Radiology and Radiography,262,200,60.3,71.3,62,-11.0,1,4.2,0
Pharmacy,Doctor of Pharmacy,333,240,81.95,55.0,93,26.95,1,4.4,1
Law,Law,331,240,73.65,55.0,91,18.65,1,2.8,1
Pharmacy,Doctor of Pharmacy,241,240,65.15,55.0,1,10.15,1,3.8,1
Pharmacy,Doctor of Pharmacy,324,240,79.6,55.0,84,24.6,1,4.2,1
Environmental Design and Management,Survey and Geo-informatics,166,150,44.9,55.0,16,-10.1,1,4.0,0
Communications and Media Studies,Pulic Relations,165,150,42.75,55.0,15,-12.25,1,3.6,0
Pharmacy,Doctor of Pharmacy,331,240,77.65,55.0,91,22.65,1,3.6,1
Basic Medical Science,Radiology and Radiography,215,200,49.25,71.3,15,-22.05,1,1.4,0
Social Sciences,Demography and Social Statistics,282,150,70.3,60.5,132,9.8,1,3.6,1
Pharmacy,Doctor of Pharmacy,234,240,60.1,55.0,-6,5.1,1,3.0,0
Communications and Media Studies,Mass Communication,169,220,53.35,66.3,-51,-12.95,1,3.6,0
Pharmacy,Doctor of Pharmacy,312,240,65.8,55.0,72,10.8,1,3.8,1
Environmental Design and Management,Architecture,268,210,58.2,66.25,58,-8.05,1,3.6,0
Pharmacy,Doctor of Pharmacy,346,240,67.9,55.0,106,12.9,1,3.2,1
Engineering,Computer Engineering,205,200,54.75,64.3,5,-9.55,1,2.8,0
Education,Human Kinetics,338,150,76.7,54.9,188,21.8,1,3.2,1
Arts,Theatre and Media Arts,242,200,61.3,65.8,42,-4.5,1,5.0,0
Agriculture,Water Resources Management and Agrometeorology,330,150,71.5,55.0,180,16.5,1,2.4,1
Social Sciences,Geography,284,150,53.6,55.0,134,-1.4,1,2.2,0
Law,Law,253,240,57.95,55.0,13,2.95,1,4.0,1
Arts,Theatre and Media Arts,238,200,49.7,65.8,38,-16.1,1,2.8,0
Pharmacy,Doctor of Pharmacy,287,240,66.05,55.0,47,11.05,1,2.6,1
Engineering,Meterials and Metallurgical Engineering,155,150,39.25,55.0,5,-15.75,1,3.2,0
Science,Botany,156,150,40.4,53.5,6,-13.1,1,3.4,0
Education,Physics Education,306,150,66.9,53.6,156,13.3,1,4.2,1
Communications and Media Studies,Broadcasting,208,150,57.2,64.0,58,-6.8,1,3.2,0
Law,Law,243,240,57.45,55.0,3,2.45,1,4.2,1
Agriculture,Soil Science and Land Resources Management,170,150,40.5,55.0,20,-14.5,1,3.0,0
Social Sciences,Psychology,291,150,60.65,64.5,141,-3.85,1,3.4,0
College of Medicine,Medicine and Surgery,170,260,54.5,55.0,-90,-0.5,1,3.8,0
Pharmacy,Doctor of Pharmacy,247,240,62.05,55.0,7,7.05,1,3.0,1
Management Sciences,Business Administration,343,200,81.45,55.0,143,26.45,1,4.0,1
Pharmacy,Doctor of Pharmacy,182,240,46.3,55.0,-58,-8.7,1,3.8,0
Law,Law,205,240,61.75,55.0,-35,6.75,1,4.2,0
Law,Law,171,240,41.65,55.0,-69,-13.35,1,3.2,0
Engineering,Computer Engineering,318,200,82.7,64.3,118,18.4,1,5.0,1
Science,Statistics,273,150,55.95,54.5,123,1.45,1,3.0,1
Education,Biology Education,338,150,55.7,55.0,188,0.7,1,1.0,1
College of Medicine,Medicine and Surgery,197,260,47.55,55.0,-63,-7.45,1,3.6,0
Communications and Media Studies,Broadcasting,146,150,50.9,64.0,-4,-13.1,1,3.8,0
Social Sciences,Political Science,184,180,56.6,62.5,4,-5.9,1,3.8,0
Pharmacy,Doctor of Pharmacy,182,240,59.3,55.0,-58,4.3,1,4.4,0
Agriculture,Water Resources Management and Agrometeorology,348,150,65.2,55.0,198,10.2,1,2.6,1
College of Medicine,Medicine and Surgery,220,260,49.0,55.0,-40,-6.0,1,3.2,0
Agriculture,Fisheries and Aquaculture,142,150,45.3,50.3,-8,-5.0,1,4.8,0
Law,Law,173,240,50.95,55.0,-67,-4.05,1,3.0,0
Communications and Media Studies,Mass Communication,262,220,60.3,66.3,42,-6.0,1,4.2,0
Agriculture,Agricultural Economics and Extension,270,150,59.5,57.8,120,1.7,1,3.8,1
College of Medicine,Medicine and Surgery,262,260,57.3,55.0,2,2.3,1,3.6,1
Pharmacy,Doctor of Pharmacy,154,240,46.1,55.0,-86,-8.9,1,2.6,0
Social Sciences,Demography and Social Statistics,325,150,67.75,60.5,175,7.25,1,3.8,1
College of Medicine,Medicine and Surgery,311,260,63.65,55.0,51,8.65,1,3.4,1
Arts,Linguistics and Language,277,150,71.55,55.0,127,16.55,1,4.0,1
Communications and Media Studies,Journalism,189,150,54.35,64.0,39,-9.65,1,3.2,0
Law,Law,286,240,60.9,55.0,46,5.9,1,3.6,1
Education,Biology Education,263,150,69.45,55.0,113,14.45,1,4.0,1
Management Sciences,Public Administration,238,160,64.7,55.0,78,9.7,1,3.8,1
Social Sciences,Psychology,147,150,39.05,64.5,-3,-25.45,1,3.4,0
Education,Biology Education,327,150,71.05,55.0,177,16.05,1,4.4,1
Basic Medical Science,Radiology and Radiography,318,200,70.7,71.3,118,-0.6,1,2.6,0
Law,Law,326,240,61.9,55.0,86,6.9,1,2.6,1
Communications and Media Studies,Pulic Relations,257,150,54.55,55.0,107,-0.45,1,3.2,0
Arts,History and International Studies,153,180,40.95,67.8,-27,-26.85,1,3.6,0
College of Medicine,Medicine and Surgery,220,260,59.0,55.0,-40,4.0,1,3.2,0
Social Sciences,Sociology,167,160,47.05,63.95,7,-16.9,1,4.4,0
Education,Mathematics Education,350,150,75.5,55.5,200,20.0,1,2.6,1
Basic Medical Science,Radiology and Radiography,208,200,43.2,71.3,8,-28.1,1,2.4,0
Social Sciences,Psychology,206,150,50.9,64.5,56,-13.6,1,4.0,0
Social Sciences,Economics,237,180,46.55,63.75,57,-17.2,1,2.2,0
Basic Medical Science,Medical Laboratory Science,170,200,41.5,72.3,-30,-30.8,1,3.2,0
Education,Health Education,172,150,40.8,57.95,22,-17.15,1,3.0,0
Basic Medical Science,Anatomy,306,180,57.9,63.3,126,-5.4,1,2.4,0
Education,Chemistry Education,157,150,36.55,55.0,7,-18.45,1,2.6,0
College of Medicine,Medicine and Surgery,162,260,41.3,55.0,-98,-13.7,1,3.4,0
Basic Medical Science,Medical Laboratory Science,215,200,51.25,72.3,15,-21.05,1,3.8,0
Communications and Media Studies,Journalism,312,150,69.8,64.0,162,5.8,1,2.6,1
Basic Medical Science,Anatomy,212,180,55.8,63.3,32,-7.5,1,2.8,0
Environmental Design and Management,Urban and Regional Planning,324,150,82.6,56.0,174,26.6,1,4.8,1
Basic Medical Science,Medical Laboratory Science,243,200,45.45,72.3,43,-26.85,1,1.8,0
Pharmacy,Doctor of Pharmacy,312,240,75.8,55.0,72,20.8,1,3.8,1
Agriculture,Hospitality and Tourism Management,212,150,50.8,58.45,62,-7.65,1,3.8,0
Basic Medical Science,Medical Laboratory Science,252,200,66.8,72.3,52,-5.5,1,3.8,0
Arts,Theatre and Media Arts,229,200,60.35,65.8,29,-5.45,1,3.2,0
Engineering,Agricultural and Bio-Resources Engineering,317,160,64.55,55.0,157,9.55,1,3.4,1
Engineering,Electrical and Electronics Engineering,172,200,58.8,63.3,-28,-4.5,1,4.6,0
Science,Physics,300,150,72.0,56.5,150,15.5,1,3.4,1
Basic Medical Science,Radiology and Radiography,177,200,54.55,71.3,-23,-16.75,1,3.6,0
Education,Mathematics Education,198,150,44.7,55.5,48,-10.8,1,3.0,0
Arts,Linguistics and Language,140,150,43.0,55.0,-10,-12.0,1,2.4,0
Science,Mathematics,199,150,58.85,55.5,49,3.35,1,3.8,1
Social Sciences,Political Science,221,180,54.15,62.5,41,-8.35,1,4.2,0
Education,Biology Education,270,150,52.5,55.0,120,-2.5,1,2.4,0
Agriculture,Soil Science and Land Resources Management,332,150,60.8,55.0,182,5.8,1,2.2,1
Arts,Theatre and Media Arts,333,200,79.95,65.8,133,14.15,1,4.0,1
Arts, English and Literary Studies,304,150,63.6,55.0,154,8.6,1,3.6,1
Pharmacy,Doctor of Pharmacy,311,240,71.65,55.0,71,16.65,1,3.0,1
Arts,History and International Studies,187,180,41.05,67.8,7,-26.75,1,2.6,0
Law,Law,171,240,37.65,55.0,-69,-17.35,1,2.4,0
Arts, English and Literary Studies,153,150,51.95,55.0,3,-3.05,1,3.8,0
Management Sciences,Accounting,232,200,55.8,55.0,32,0.8,1,4.2,1
Pharmacy,Doctor of Pharmacy,291,240,62.65,55.0,51,7.65,1,3.8,1
Management Sciences,Business Administration,217,200,49.55,55.0,17,-5.45,1,3.4,0
Agriculture,Fisheries and Aquaculture,341,150,83.15,50.3,191,32.85,1,4.4,1
Social Sciences,Geography,285,150,61.75,55.0,135,6.75,1,3.8,1
College of Medicine,Medicine and Surgery,332,260,66.8,55.0,72,11.8,1,3.4,1
Basic Medical Science,Anatomy,143,180,52.45,63.3,-37,-10.85,1,4.2,0
Social Sciences,Economics,307,180,59.05,63.75,127,-4.7,1,2.6,0
Science,Chemistry,194,150,51.1,62.5,44,-11.4,1,4.4,0
Environmental Design and Management,Architecture,200,210,53.0,66.25,-10,-13.25,1,4.6,0
Pharmacy,Doctor of Pharmacy,202,240,52.3,55.0,-38,-2.7,1,4.4,0
Law,Law,316,240,71.4,55.0,76,16.4,1,4.8,1
Arts, English and Literary Studies,182,150,42.3,55.0,32,-12.7,1,3.0,0
Basic Medical Science,Anatomy,251,180,61.65,63.3,71,-1.65,1,4.8,0
Communications and Media Studies,Broadcasting,155,150,40.25,64.0,5,-23.75,1,3.4,0
Education,Guidance and Counselling,206,150,53.9,59.05,56,-5.15,1,2.6,0
Education,Physics Education,347,150,79.05,53.6,197,25.45,1,3.4,1
Social Sciences,Psychology,347,150,77.05,64.5,197,12.55,1,5.0,1
Pharmacy,Doctor of Pharmacy,297,240,65.55,55.0,57,10.55,1,4.2,1
Science,Industrial Chemistry,172,150,53.8,60.5,22,-6.7,1,5.6,0
Law,Law,179,240,52.85,55.0,-61,-2.15,1,5.2,0
Engineering,Meterials and Metallurgical Engineering,344,150,80.6,55.0,194,25.6,1,3.8,1
Arts,Theatre and Media Arts,243,200,53.45,65.8,43,-12.35,1,3.4,0
Basic Medical Science,Medical Laboratory Science,188,200,46.2,72.3,-12,-26.1,1,3.6,0
Education,Physics Education,216,150,63.4,53.6,66,9.8,1,4.2,1
Communications and Media Studies,Broadcasting,269,150,66.35,64.0,119,2.35,1,3.2,1
Basic Medical Science,Medical Laboratory Science,243,200,49.45,72.3,43,-22.85,1,2.6,0
Social Sciences,Demography and Social Statistics,190,150,47.5,60.5,40,-13.0,1,3.8,0
Agriculture,Soil Science and Land Resources Management,345,150,65.75,55.0,195,10.75,1,2.8,1
Management Sciences,Business Administration,312,200,76.8,55.0,112,21.8,1,4.0,1
Agriculture,Water Resources Management and Agrometeorology,163,150,53.45,55.0,13,-1.55,1,3.8,0
Education,Human Kinetics,284,150,59.6,54.9,134,4.7,1,3.4,1
Science,Computer Science,235,200,54.25,65.3,35,-11.05,1,3.8,0
Basic Medical Science,Medical Laboratory Science,224,200,50.6,72.3,24,-21.7,1,3.4,0
Science,Geology,330,150,61.5,59.5,180,2.0,1,2.4,1
Social Sciences,Criminology and Security Studies,166,200,55.9,55.0,-34,0.9,1,4.2,0
Social Sciences,Demography and Social Statistics,205,150,50.75,60.5,55,-9.75,1,4.0,0
College of Medicine,Medicine and Surgery,174,260,56.1,55.0,-86,1.1,1,4.0,0
Basic Medical Science,Anatomy,230,180,53.5,63.3,50,-9.8,1,3.8,0
College of Medicine,Medicine and Surgery,300,260,63.0,55.0,40,8.0,1,3.6,1
Engineering,Mechanical Engineering,210,200,42.5,65.0,10,-22.5,1,2.2,0
Communications and Media Studies,Mass Communication,163,220,39.45,66.3,-57,-26.85,1,3.0,0
Education,Chemistry Education,308,150,60.2,55.0,158,5.2,1,2.8,1
Communications and Media Studies,Journalism,286,150,72.9,64.0,136,8.9,1,4.0,1
Education,Human Kinetics,143,150,42.45,54.9,-7,-12.45,1,4.2,0
College of Medicine,Medicine and Surgery,165,260,44.75,55.0,-95,-10.25,1,4.0,0
Basic Medical Science,Radiology and Radiography,236,200,61.4,71.3,36,-9.9,1,3.2,0
Engineering,Meterials and Metallurgical Engineering,260,150,68.0,55.0,110,13.0,1,3.8,1
Engineering,Mechanical Engineering,214,200,60.1,65.0,14,-4.9,1,3.6,0
Arts, English and Literary Studies,322,150,72.3,55.0,172,17.3,1,4.8,1
Management Sciences,Finance,260,160,63.0,55.0,100,8.0,1,2.8,1
Basic Medical Science,Anatomy,346,180,64.9,63.3,166,1.6,1,2.6,1
Education,Guidance and Counselling,227,150,63.05,59.05,77,4.0,1,3.8,1
Basic Medical Science,Medical Laboratory Science,159,200,41.85,72.3,-41,-30.45,1,1.6,0
Engineering,Civil Engineering,210,200,62.5,65.0,10,-2.5,1,4.2,0
Law,Law,193,240,42.95,55.0,-47,-12.05,1,2.8,0
Arts,History and International Studies,279,180,69.85,67.8,99,2.05,1,3.6,1
Education,Mathematics Education,208,150,55.2,55.5,58,-0.3,1,4.8,0
Engineering,Agricultural and Bio-Resources Engineering,293,160,63.95,55.0,133,8.95,1,4.0,1
Environmental Design and Management,Quantity Surveying,297,170,70.55,60.5,127,10.05,1,3.2,1
Pharmacy,Doctor of Pharmacy,150,240,38.5,55.0,-90,-16.5,1,3.2,0
Pharmacy,Doctor of Pharmacy,295,240,73.25,55.0,55,18.25,1,3.8,1
Education,Library and Information Science,258,150,54.7,64.5,108,-9.8,1,3.2,0
Education,Guidance and Counselling,238,150,60.7,59.05,88,1.65,1,3.0,1
