faculty,department,utme_score,screening_score,olevel_passed,admitted,olevel_grades
Education,Arts and Science Education,216,66.0,True,not admitted,"C6, C5, A1, A1, B3"
Pure and Applied Science,Biochemistry,309,84.62,True,not admitted,"B2, A1, B2, A1, B3"
Arts,Fine and Applied Arts,216,61.0,False,not admitted,"C4, B3, C6, C6, B2"
Allied Health Science,Medical Laboratory Science,222,67.75,False,not admitted,"B2, C4, B2, C4, B3"
Engineering and Technology,Food and Agricultural Engineering,338,82.25,False,not admitted,"B2, B3, B3, B2, C5"
Management and Social Sciences,Tourism and Hospitality Management,317,76.62,False,not admitted,"C6, C6, B2, B2, B2"
Agriculture,Crop Production,229,61.62,True,not admitted,"C6, C5, C5, B2, C4"
Law,Business and Private Law,151,52.88,True,not admitted,"C5, C4, C5, C5, B2"
Allied Health Science,Public Health,210,69.25,True,not admitted,"A1, C6, A1, B2, B2"
Engineering and Technology,Civil and Environmental Engineering,272,67.0,True,not admitted,"B2, C5, C4, C6, C5"
Arts,"Religions, History and Heritage Studies",373,87.62,True,not admitted,"B2, B2, B3, C4, B3"
Engineering and Technology,Mechanical Engineering,285,71.62,True,not admitted,"C4, C6, A1, C4, C4"
Engineering and Technology,Aeronautics and Astronautics Engineering,353,82.12,False,not admitted,"B2, C6, A1, B2, C6"
Arts,Fine and Applied Arts,329,76.12,False,not admitted,"B3, C5, B3, C5, C4"
Engineering and Technology,Food and Agricultural Engineering,151,51.88,True,not admitted,"B2, B3, C6, C5, C6"
Information and Communication Technology,Library and Information Science,175,58.88,True,not admitted,"C4, C6, A1, C5, B2"
Education,Arts and Science Education,156,63.5,True,not admitted,"A1, A1, B3, B3, B3"
Engineering and Technology,Electrical and Computer Engineering,341,83.62,True,not admitted,"C4, B2, C4, B2, B2"
Agriculture,Food Science and Technology,270,70.75,True,not admitted,"C4, B3, C4, B2, C5"
Agriculture,"Animal Production, Fisheries and Aquaculture",195,67.38,True,not admitted,"B2, B3, C5, A1, A1"
Pure and Applied Science,Geology and Mineral Sciences,270,77.75,False,not admitted,"B2, A1, B2, B2, C4"
Pure and Applied Science,Biochemistry,239,64.88,False,not admitted,"B3, C5, C5, C4, B3"
Arts,English Language and Linguistics,276,70.5,True,not admitted,"C4, B2, C6, B2, C5"
Pure and Applied Science,Mathematics and Statistics,380,84.5,True,not admitted,"C6, C5, B3, B2, B2"
Education,Arts and Science Education,122,51.25,True,not admitted,"C4, C5, B2, C5, B3"
Education,Arts and Science Education,317,87.62,True,not admitted,"A1, B2, A1, A1, B2"
Allied Health Science,Public Health,275,66.38,True,not admitted,"B3, B3, C5, C6, C6"
Engineering and Technology,Food and Agricultural Engineering,392,89.0,True,not admitted,"B3, C6, A1, C4, A1"
Pure and Applied Science,Zoology,140,55.5,True,not admitted,"B3, B2, C6, A1, C5"
Allied Health Science,Public Health,165,62.62,False,not admitted,"C4, C6, A1, A1, A1"
Education,Early Childhood and Primary Education,292,73.5,True,not admitted,"B3, C4, A1, C5, C5"
Agriculture,Food Science and Technology,287,73.88,False,not admitted,"C5, B3, C6, A1, B2"
Management and Social Sciences,Accounting and Finance,144,59.0,False,not admitted,"A1, A1, C4, C5, B3"
Engineering and Technology,Civil and Environmental Engineering,171,57.38,False,not admitted,"C4, A1, C5, C5, C4"
Engineering and Technology,Aeronautics and Astronautics Engineering,379,82.38,False,not admitted,"B2, B3, C5, C5, C5"
Pure and Applied Science,Plant and Environmental Biology,392,81.0,False,not admitted,"C6, C5, C4, C6, B2"
Law,Business and Private Law,259,61.38,False,not admitted,"C6, C5, C6, B3, C6"
Education,Human Kinetic and Health Education,277,69.62,True,not admitted,"C5, C5, B2, C4, C4"
Law,Common Law,123,50.38,False,not admitted,"C4, B3, C6, C5, B2"
Allied Health Science,Medical Laboratory Science,394,82.25,True,not admitted,"C5, B3, C6, C5, B3"
Allied Health Science,Environmental Health Science,139,50.38,True,not admitted,"B2, C4, C5, C6, C5"
Management and Social Sciences,Politics and Governance,311,71.88,True,not admitted,"C5, C6, B2, B3, C6"
Management and Social Sciences,Politics and Governance,346,77.25,True,not admitted,"B3, C4, C5, B3, C6"
Agriculture,Food Science and Technology,322,77.25,True,not admitted,"C6, B2, C6, B2, B2"
Education,Arts and Science Education,204,61.5,True,not admitted,"B3, A1, C5, C6, C4"
Information and Communication Technology,Mass Communication,252,70.5,True,not admitted,"A1, B2, C5, B2, C6"
Pure and Applied Science,Biochemistry,193,62.12,True,not admitted,"A1, B3, B2, C5, C6"
Information and Communication Technology,Computer Science,328,82.0,True,not admitted,"C5, A1, A1, C5, B2"
Agriculture,Agricultural Economics and Extension Services,205,61.62,False,not admitted,"C4, C4, B3, C5, B3"
Law,Common Law,353,87.12,False,not admitted,"B2, A1, C6, B2, A1"
Arts,English Language and Linguistics,148,50.5,True,not admitted,"C6, A1, C5, C6, C5"
Engineering and Technology,Materials Science and Engineering,248,69.0,True,not admitted,"B2, C5, B3, B2, C5"
Agriculture,Crop Production,154,50.25,False,not admitted,"C6, C5, B2, C6, C5"
Allied Health Science,Environmental Health Science,265,70.12,False,not admitted,"B3, C5, C4, B3, B3"
Engineering and Technology,Materials Science and Engineering,164,56.5,False,not admitted,"C6, C4, B2, C5, B2"
Pure and Applied Science,Environmental Management and Toxicology,267,70.38,True,not admitted,"C5, B3, C6, A1, B3"
Management and Social Sciences,Accounting and Finance,283,66.38,True,not admitted,"C6, C4, C4, C4, C6"
Engineering and Technology,Civil and Environmental Engineering,172,57.5,True,not admitted,"A1, C4, C5, C5, C4"
Arts,"Religions, History and Heritage Studies",240,63.0,True,not admitted,"C6, B2, C6, C5, B3"
Engineering and Technology,Aeronautics and Astronautics Engineering,165,58.62,True,not admitted,"A1, B3, B2, C6, C5"
Information and Communication Technology,Library and Information Science,225,64.12,True,not admitted,"B2, C5, C4, B2, C6"
Management and Social Sciences,Tourism and Hospitality Management,317,73.62,True,not admitted,"C6, B3, C5, B3, C4"
Law,Common Law,216,66.0,True,not admitted,"C5, B3, A1, C5, B2"
Arts,Arabic and French,395,89.38,True,not admitted,"B3, B2, C4, B3, B3"
Management and Social Sciences,Politics and Governance,158,56.75,False,not admitted,"A1, B3, C6, C4, C4"
Engineering and Technology,Civil and Environmental Engineering,182,59.75,True,not admitted,"C5, A1, C6, A1, C5"
Arts,English Language and Linguistics,305,76.12,False,not admitted,"B2, A1, C4, C5, C5"
Management and Social Sciences,Tourism and Hospitality Management,301,66.62,True,not admitted,"C5, C6, C4, C6, C5"
Education,Business and Entrepreneurship Education,198,62.75,True,not admitted,"C6, A1, A1, C4, C5"
Agriculture,Crop Production,187,60.38,False,not admitted,"C4, C4, B2, C6, B2"
Education,Business and Entrepreneurship Education,297,71.12,False,not admitted,"C5, B2, C6, B2, C6"
Law,Jurisprudence and Public Law,373,78.62,True,not admitted,"C6, C6, C4, C6, A1"
Education,Arts and Science Education,162,65.25,True,not admitted,"B2, C4, B2, A1, A1"
Engineering and Technology,Civil and Environmental Engineering,388,78.5,True,not admitted,"C6, B3, C6, C6, C4"
Allied Health Science,Medical Laboratory Science,185,68.12,False,not admitted,"B2, A1, B2, B2, B3"
Agriculture,Crop Production,319,74.88,False,not admitted,"C4, C6, B3, B2, C5"
Information and Communication Technology,Computer Science,224,63.0,False,not admitted,"C5, B3, C4, B2, C6"
Information and Communication Technology,Library and Information Science,198,61.75,True,not admitted,"A1, B3, B3, C6, C5"
Allied Health Science,Environmental Health Science,327,80.88,False,not admitted,"B2, C6, C4, A1, B2"
