<<<<<<< HEAD
faculty,department,utme_score,screening_score,olevel_passed,admitted,olevel_grades
Social Sciences,Sociology,321,75.12,False,not admitted,"A1, C4, B3, C6, C6"
Environmental Science,Quantity Surveying,394,90.25,False,not admitted,"A1, B2, C4, C4, B3"
Education,Guidance & Counselling,235,71.38,False,not admitted,"C4, A1, B2, B3, B3"
Social Sciences,Political Science,304,73.0,True,admitted,"B2, C5, C5, C5, B3"
Science,Mathematics,222,66.75,True,admitted,"A1, C4, C5, B3, B3"
Scool of Transport,Logistics and Supply Chain Management,160,59.0,True,not admitted,"B3, C4, A1, C4, C4"
Education,Geography Education,330,81.25,True,admitted,"B3, A1, C4, B2, C5"
Environmental Science,Environmental Management,227,61.38,True,admitted,"B2, C4, C6, C4, C6"
Law,Common/Islamic Law,151,51.88,False,not admitted,"B2, C5, C6, C6, B3"
Agriculture,Agricultural Economics,377,85.12,True,admitted,"B2, C4, C4, B3, C4"
Communication and Media Studies,Mass Communication,368,86.0,False,not admitted,"B2, B2, C5, B3, B3"
Communication and Media Studies,Mass Communication,194,63.25,False,not admitted,"B2, B2, B2, C6, C4"
Communication and Media Studies,Mass Communication,286,74.75,False,not admitted,"B3, B2, C4, A1, C6"
Education,History Education,339,80.38,True,admitted,"A1, C6, B3, C5, B2"
Social Sciences,Economics,181,58.62,True,not admitted,"C5, C4, C5, A1, C4"
College of MEdicine,Physiotherapy,198,59.75,True,admitted,"C5, C4, B2, C4, C5"
Agriculture,Agricultural Extension & Rural Development,391,87.88,True,admitted,"C5, C5, A1, B2, B3"
Agriculture,Agricultural Extension & Rural Development,164,60.5,True,not admitted,"C6, C4, B3, A1, A1"
Management Sciences,Marketing,200,63.0,False,not admitted,"C6, B3, A1, B3, C4"
Social Sciences,Political Science,324,83.5,True,admitted,"C4, B2, A1, B2, B3"
College of MEdicine,Medical Laboratory Science,171,57.38,True,not admitted,"C5, C4, C4, C4, B2"
Social Sciences,Economics,322,78.25,False,not admitted,"C5, C4, C5, B2, A1"
Communication and Media Studies,Mass Communication,218,62.25,False,not admitted,"C4, C5, B2, C4, C5"
Scool of Library Archival and Information Science,Library and information Science,153,60.12,True,not admitted,"A1, C4, C4, B2, B3"
Engineering,Chemical Engineering,155,57.38,True,not admitted,"B3, C4, C4, A1, C5"
