Faculty,Department,UTME_Score,Olevel_Grades,Post_UTME_Score,Aggregate,Cutoff,Admission_Status
Law,Law,365,"C4, C6, B2, C6, B2",25,84.62,68.65,admitted
Arts,Russian,206,"A1, C5, B2, B3, C4",10,51.75,67.65,not admitted
Basic Medical Sciences,Medical Laboratory Science,201,"C4, C6, B2, C4, B3",22,61.52,74.675,considered
Engineering,Civil & Environmental Engineering,204,"C5, B3, C4, A1, C6",7,46.9,50.0,not admitted
Management Sciences,Accounting,233,"C6, C5, A1, B3, A1",25,69.72,74.1,considered
Science,Fisheries,388,"C4, A1, A1, C4, B3",26,91.3,50.0,admitted
Clinical Sciences,Medicine and Surgery,345,"C5, A1, C4, C5, B2",13,71.33,80.8,considered
Engineering,Systems Engineering,240,"B3, C5, C5, C5, A1",29,73.4,50.0,admitted
Basic Medical Sciences,Pharmacology,243,"C5, C5, A1, C5, C4",28,72.38,72.625,considered
Pharmacy,Pharmacy,262,"B2, B2, B3, B2, B3",27,76.95,76.125,admitted
Clinical Sciences,Radiography,387,"A1, C5, C4, B2, C6",25,88.17,72.525,admitted
Engineering,Metallurgical & Material Engineering,204,"B3, B3, C6, C4, A1",17,57.7,50.0,admitted
Engineering,Surveying & Geoinformatics Engineering,239,"C4, A1, A1, A1, C5",19,66.08,50.0,admitted
Clinical Sciences,Medicine and Surgery,242,"C4, C4, C4, B3, B3",16,61.05,80.8,considered
Social Sciences,Social Work,253,"B2, C5, C5, B2, B2",18,65.22,50.0,admitted
Law,Law,207,"C4, C5, C6, C5, C6",29,66.47,68.65,considered
Environmental Sciences,Architecture,379,"C4, A1, C4, B2, B2",5,69.17,50.0,not admitted
Pharmacy,Pharmacy,251,"C6, B3, C5, C5, C4",29,73.17,76.125,considered
Arts,Islamic Religious Studies,378,"C5, C6, C4, B2, B2",21,82.65,60.225,admitted
Environmental Sciences,Quantity Surveying,355,"C4, A1, C6, A1, B2",24,84.78,50.0,admitted
Basic Medical Sciences,Pharmacology,323,"C6, C6, C4, C5, C4",23,75.38,72.625,admitted
Dental Sciences,Dentistry,310,"A1, A1, C5, B3, B3",11,66.55,77.4,not admitted
Management Sciences,Actuarial Science,254,"C5, C6, A1, B3, A1",6,53.35,61.875,not admitted
