Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate,Cutoff,Olevel_Valid,olevel_avg_points,admitted_numeric
Clinical Sciences,Physiotherapy,325,22,78.62,73.75,1,3.2,2
Basic Medical Sciences,Pharmacology,184,1,39.6,72.625,1,3.12,0
Clinical Sciences,Nursing,243,24,70.78,70.875,1,3.28,1
Dental Sciences,Dentistry,348,18,74.7,77.4,1,2.64,1
Social Sciences,Mass Communication,352,19,77.8,72.35,1,2.96,2
Management Sciences,IRPM,387,14,79.17,50.0,1,3.36,2
Clinical Sciences,Physiotherapy,199,17,57.08,73.75,1,3.04,0
Management Sciences,Finance,383,5,68.88,68.9,1,3.2,0
Education,Education Igbo,398,2,64.95,50.0,1,2.64,0
Basic Medical Sciences,Pharmacology,379,30,92.97,72.625,1,3.12,2
Science,Zoology,169,16,52.33,50.0,1,3.04,0
Arts,History & Strategic Studies,277,15,61.23,68.6,1,2.32,1
Management Sciences,Insurance,177,19,55.12,67.125,1,2.8,0
Management Sciences,Insurance,349,28,87.62,67.125,1,3.2,2
Arts,Linguistic Igbo/Yoruba,260,14,63.3,61.175,1,3.36,2
Engineering,Civil & Environmental Engineering,212,0,42.9,50.0,1,3.28,0
Dental Sciences,Dentistry,388,3,64.7,77.4,1,2.64,0
Dental Sciences,Dentistry,394,17,79.85,77.4,1,2.72,2
Social Sciences,Political Science,191,16,57.48,68.6,1,3.52,0
Dental Sciences,Dentistry,200,20,60.2,77.4,1,3.04,1
Dental Sciences,Dentistry,331,19,71.97,77.4,1,2.32,1
Environmental Sciences,Estate Management,271,12,61.48,50.0,1,3.12,2
Environmental Sciences,Estate Management,309,28,81.83,50.0,1,3.04,2
Arts,Islamic Religious Studies,366,22,84.15,60.225,1,3.28,2
Dental Sciences,Dentistry,231,9,53.48,77.4,1,3.12,0
Pharmacy,Pharmacy,154,0,34.85,76.125,1,3.12,0
Education,Education Geography,222,26,68.95,50.0,1,3.04,2
Management Sciences,Actuarial Science,387,19,81.38,61.875,1,2.8,2
Dental Sciences,Dentistry,323,1,56.58,77.4,1,3.04,0
Arts,Russian,174,16,50.55,67.65,1,2.56,0
Law,Law,190,2,40.95,68.65,1,3.04,0
Environmental Sciences,Estate Management,241,2,45.73,50.0,1,2.72,0
Basic Medical Sciences,Physiology,324,7,62.7,71.55,1,3.04,0
Education,Business Education,342,10,67.15,50.0,1,2.88,0
Management Sciences,Insurance,369,29,91.12,67.125,1,3.2,2
Management Sciences,Finance,323,25,81.78,68.9,1,3.28,2
Social Sciences,Mass Communication,255,9,54.48,72.35,1,2.72,0
Engineering,Biomedical Engineering,331,10,67.78,50.0,1,3.28,0
Arts,Christian Religious Studies,358,7,65.75,61.625,1,2.8,0
Management Sciences,IRPM,378,0,61.65,50.0,1,2.88,0
Environmental Sciences,Urban & Regional Planning,305,9,62.73,50.0,1,3.12,0
Education,Education Biology,217,1,44.52,50.0,1,3.28,0
Engineering,Surveying & Geoinformatics Engineering,161,10,45.33,50.0,1,3.04,0
Clinical Sciences,Physiotherapy,195,7,46.17,73.75,1,2.96,0
Engineering,Computer Engineering,196,1,41.5,50.0,1,3.2,0
Social Sciences,Mass Communication,186,30,69.65,72.35,1,3.28,0
Basic Medical Sciences,Medical Laboratory Science,260,14,63.3,74.675,1,3.36,1
Environmental Sciences,Quantity Surveying,314,17,71.45,50.0,1,3.04,2
Pharmacy,Pharmacy,160,15,49.4,76.125,1,2.88,0
Education,Education Chemistry,156,9,42.1,50.0,1,2.72,0
Arts,French,215,1,42.27,66.55,1,2.88,0
Science,Computer Science,295,24,75.67,71.75,1,2.96,2
Social Sciences,Economics,306,20,72.65,69.95,1,2.88,2
Arts,French,167,20,53.27,66.55,1,2.48,0
Education,Human Kinetics Education,270,20,68.55,50.0,1,2.96,2
Law,Law,163,14,49.17,68.65,1,2.96,0
Dental Sciences,Dentistry,288,28,79.2,77.4,1,3.04,2
Basic Medical Sciences,Physiology,147,12,44.38,71.55,1,2.8,0
Arts,English,198,14,53.55,68.175,1,2.96,0
Basic Medical Sciences,Medical Laboratory Science,364,21,82.5,74.675,1,3.2,2
Education,Education Chemistry,280,17,63.2,50.0,1,2.24,2
Education,Education Economics,161,11,47.12,50.0,1,3.2,0
Science,Marine Biology,331,4,58.98,50.0,1,2.72,0
Dental Sciences,Dentistry,231,30,71.67,77.4,1,2.56,1
Arts,Russian,241,28,74.92,67.65,1,3.36,2
Management Sciences,Business Administration,355,1,60.98,68.65,1,3.12,0
Science,Industrial Mathematics,358,29,89.35,50.0,1,3.12,2
Environmental Sciences,Quantity Surveying,364,16,77.9,50.0,1,3.28,2
Science,Physics,273,28,76.92,50.0,1,2.96,2
Social Sciences,Mass Communication,219,12,52.98,72.35,1,2.72,1
Environmental Sciences,Building,156,7,44.5,50.0,1,3.6,0
Basic Medical Sciences,Medical Laboratory Science,296,7,60.8,74.675,1,3.36,0
Clinical Sciences,Medicine and Surgery,271,13,61.27,80.8,1,2.88,1
Dental Sciences,Dentistry,331,25,81.58,77.4,1,3.04,2
Education,Education History,345,27,86.12,50.0,1,3.2,2
Social Sciences,Psychology,250,1,47.05,67.4,1,2.96,0
Dental Sciences,Dentistry,254,0,44.95,77.4,1,2.64,0
Education,Educational Administration,217,12,53.12,50.0,1,2.8,2
Environmental Sciences,Architecture,392,18,82.2,50.0,1,3.04,2
Engineering,Electrical & Electronics Engineering,256,0,48.8,50.0,1,3.36,0
Pharmacy,Pharmacy,257,25,71.53,76.125,1,2.88,1
Science,Mathematics,277,20,69.42,50.0,1,2.96,2
Science,Zoology,336,8,65.6,50.0,1,3.12,0
Basic Medical Sciences,Pharmacology,333,30,86.83,72.625,1,3.04,2
Environmental Sciences,Quantity Surveying,308,0,54.5,50.0,1,3.2,0
Science,Microbiology,372,9,71.1,50.0,1,3.12,0
Dental Sciences,Dentistry,267,23,71.58,77.4,1,3.04,1
Basic Medical Sciences,Physiology,336,23,81.0,71.55,1,3.2,2
Management Sciences,Business Administration,326,23,80.55,68.65,1,3.36,2
Education,Educational Foundations,352,30,90.0,50.0,1,3.2,2
Pharmacy,Pharmacy,204,5,44.5,76.125,1,2.8,0
Education,Adult Education,350,15,74.75,50.0,1,3.2,2
Social Sciences,Geography,267,26,73.78,50.0,1,2.88,2
Engineering,Surveying & Geoinformatics Engineering,200,4,42.6,50.0,1,2.72,0
Education,Education Biology,327,6,62.08,50.0,1,3.04,0
Arts,English,384,19,84.2,68.175,1,3.44,2
Clinical Sciences,Physiotherapy,174,6,40.55,73.75,1,2.56,0
Pharmacy,Pharmacy,392,14,79.8,76.125,1,3.36,2
Engineering,Metallurgical & Material Engineering,226,27,72.05,50.0,1,3.36,2
Engineering,Electrical & Electronics Engineering,345,22,79.53,50.0,1,2.88,2
Arts,History & Strategic Studies,208,23,61.0,68.6,1,2.4,1
Social Sciences,Mass Communication,203,19,58.38,72.35,1,2.8,1
Education,Educational Administration,365,20,80.83,50.0,1,3.04,2
Management Sciences,Insurance,366,27,85.15,67.125,1,2.48,2
Dental Sciences,Dentistry,344,23,81.6,77.4,1,3.12,2
Social Sciences,Social Work,180,24,62.5,50.0,1,3.2,0
Law,Law,187,14,52.17,68.65,1,2.96,0
Pharmacy,Pharmacy,274,5,53.65,76.125,1,2.88,0
Arts,Islamic Religious Studies,209,22,65.33,60.225,1,3.44,2
Management Sciences,Actuarial Science,297,21,73.72,61.875,1,3.12,2
Engineering,Systems Engineering,305,0,56.52,50.0,1,3.68,0
Pharmacy,Pharmacy,379,27,88.78,76.125,1,2.88,2
Social Sciences,Sociology,165,25,60.02,66.15,1,2.88,0
Pharmacy,Pharmacy,245,7,54.42,76.125,1,3.36,0
Basic Medical Sciences,Pharmacology,334,21,77.15,72.625,1,2.88,2
Science,Mathematics,150,25,60.15,50.0,1,3.28,0
Clinical Sciences,Medicine and Surgery,337,4,62.92,80.8,1,3.36,0
Engineering,Computer Engineering,369,6,69.33,50.0,1,3.44,0
Environmental Sciences,Building,358,13,72.15,50.0,1,2.88,2
Basic Medical Sciences,Medical Laboratory Science,315,8,62.58,74.675,1,3.04,0
Social Sciences,Mass Communication,219,3,44.38,72.35,1,2.8,0
Clinical Sciences,Nursing,298,2,54.05,70.875,1,2.96,0
Education,Education Yoruba,381,14,76.03,50.0,1,2.88,2
Environmental Sciences,Architecture,314,25,78.25,50.0,1,2.8,2
Pharmacy,Pharmacy,292,8,59.7,76.125,1,3.04,0
Social Sciences,Psychology,217,6,47.52,67.4,1,2.88,0
Basic Medical Sciences,Medical Laboratory Science,334,17,75.15,74.675,1,3.28,2
Law,Law,149,19,52.42,68.65,1,2.96,0
Education,Education French,229,3,48.02,50.0,1,3.28,0
Social Sciences,Political Science,182,16,54.75,68.6,1,3.2,0
Law,Law,397,13,80.62,68.65,1,3.6,2
Management Sciences,Actuarial Science,207,8,48.67,61.875,1,2.96,0
Education,Integrated Science Education,328,22,79.0,50.0,1,3.2,2
Clinical Sciences,Radiography,147,4,38.77,72.525,1,3.28,0
Clinical Sciences,Nursing,359,19,77.88,70.875,1,2.8,2
Dental Sciences,Dentistry,395,19,83.17,77.4,1,2.96,2
Clinical Sciences,Nursing,170,6,40.85,70.875,1,2.72,0
Engineering,Mechanical Engineering,317,19,73.83,50.0,1,3.04,2
Arts,English,223,10,55.48,68.175,1,3.52,0
Social Sciences,Economics,219,15,58.38,69.95,1,3.2,1
Science,Geophysics,320,4,59.2,50.0,1,3.04,0
Science,Mathematics,368,22,83.2,50.0,1,3.04,2
Social Sciences,Mass Communication,237,12,58.42,72.35,1,3.36,1
Dental Sciences,Dentistry,243,5,48.17,77.4,1,2.56,0
Management Sciences,Business Administration,179,8,43.17,68.65,1,2.56,0
Basic Medical Sciences,Physiology,330,6,62.85,71.55,1,3.12,0
Arts,Philosophy,250,13,57.85,67.4,1,2.72,1
Education,Education Home Economics,172,21,56.9,50.0,1,2.88,0
Management Sciences,Finance,324,16,71.7,68.9,1,3.04,2
Science,Geology,397,13,78.22,50.0,1,3.12,2
Clinical Sciences,Physiotherapy,202,22,60.05,73.75,1,2.56,1
Basic Medical Sciences,Pharmacology,326,8,64.35,72.625,1,3.12,0
Social Sciences,Psychology,241,8,52.52,67.4,1,2.88,0
Environmental Sciences,Urban & Regional Planning,339,26,81.97,50.0,1,2.72,2
Management Sciences,Finance,360,29,86.4,68.9,1,2.48,2
Pharmacy,Pharmacy,210,26,63.85,76.125,1,2.32,1
Science,Computer Science,342,10,67.15,71.75,1,2.88,0
Engineering,Computer Engineering,229,18,62.62,50.0,1,3.2,2
Law,Law,327,13,69.08,68.65,1,3.04,2
Science,Geology,173,5,40.62,50.0,1,2.8,0
Clinical Sciences,Nursing,188,24,62.7,70.875,1,3.04,0
Social Sciences,Social Work,163,23,56.17,50.0,1,2.56,0
Social Sciences,Geography,198,12,51.55,50.0,1,2.96,0
Education,Education Christian Religious Studies,153,25,59.73,50.0,1,3.12,0
Arts,History & Strategic Studies,188,24,63.5,68.6,1,3.2,0
Engineering,Electrical & Electronics Engineering,176,28,66.8,50.0,1,3.36,0
Science,Geophysics,209,7,43.92,50.0,1,2.16,0
Management Sciences,Finance,154,19,54.65,68.9,1,3.28,0
Law,Law,317,22,77.22,68.65,1,3.12,2
Pharmacy,Pharmacy,228,3,48.7,76.125,1,3.44,0
Social Sciences,Mass Communication,190,7,46.75,72.35,1,3.2,0
Engineering,Surveying & Geoinformatics Engineering,274,14,63.05,50.0,1,2.96,2
Dental Sciences,Dentistry,161,10,44.52,77.4,1,2.88,0
