Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate_Score,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Management Sciences,Finance,226,27.08,69.33,True,1,admitted,"C6, C4, C4, A1, C5"
Environmental Sciences,Urban and Regional Planning,224,6.76,50.76,True,1,admitted,"C5, C5, A1, A1, B3"
Clinical Sciences,Medicine and Surgery,218,7.56,49.61,True,2,not admitted,"B2, A1, C6, C5, C4"
Veterinary Medicine,Veterinary Medicine,322,8.82,65.07,True,2,admitted,"C5, B3, A1, B3, B3"
Veterinary Medicine,Veterinary Medicine,296,6.93,55.53,True,1,admitted,"C6, C6, B3, C6, C5"
Law,Law,385,8.37,70.89,True,2,admitted,"C5, A1, C6, C5, B2"
Communication and Information Sciences,Library and Information Science,252,19.66,67.96,True,1,admitted,"C6, A1, B2, B3, A1"
Education,Social Sciences Education,289,26.84,78.56,True,2,admitted,"C4, B3, A1, C6, B2"
Communication and Information Sciences,Telecommunication Science,400,13.97,80.37,True,1,admitted,"B2, B2, B3, C5, B2"
Law,Law,151,2.8,36.48,True,2,not admitted,"B3, A1, C5, C5, C4"
Life Sciences,Zoology,236,19.65,64.35,True,1,admitted,"C5, B3, A1, C5, B3"
Agriculture,Animal Production,375,9.24,67.72,True,2,admitted,"C6, C6, C6, B3, C5"
Physical Sciences,Mathematics,198,0.27,41.02,True,2,not admitted,"A1, B2, C6, C5, A1"
Social Sciences,Sociology,164,4.61,39.91,True,1,not admitted,"C6, C5, A1, B3, B3"
Agriculture,Animal Production,396,2.27,66.97,True,1,admitted,"A1, B3, C4, B3, C6"
Social Sciences,Political Science,338,14.48,70.73,True,1,admitted,"C5, B2, C5, C5, B3"
Agriculture,Home Economics and Food Science,233,17.51,60.64,True,2,admitted,"C6, A1, C6, C4, B3"
Basic Medical Sciences,Biomedical Science,264,16.62,62.82,True,1,admitted,"A1, C6, C4, C6, C5"
Law,Law,279,2.52,51.4,True,2,admitted,"C6, B2, C4, C4, C4"
Physical Sciences,Physics,354,28.86,89.51,True,1,admitted,"B3, C5, C4, A1, A1"
Management Sciences,Industrial Relations and Personnel Management,186,26.48,63.33,True,1,admitted,"C4, C4, C5, C4, C4"
Pharmaceutical Sciences,Pharmacy,165,28.49,64.31,True,2,not admitted,"B3, C4, B2, C6, B2"
Physical Sciences,Geology,271,1.2,49.08,True,1,not admitted,"C5, C6, B3, B3, B3"
Law,Law,186,5.07,43.12,True,1,not admitted,"B2, B3, B2, C5, C6"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,219,7.04,48.81,True,1,not admitted,"C4, B3, C5, B3, C4"
Law,Law,310,9.42,66.17,True,2,admitted,"C5, A1, A1, B2, A1"
Clinical Sciences,Medicine and Surgery,184,11.75,45.55,True,1,not admitted,"C5, C6, C6, C5, C6"
Life Sciences,Zoology,181,22.2,59.62,True,1,admitted,"C5, B2, C4, B3, C4"
Law,Law,355,6.23,65.41,True,1,admitted,"B2, B3, C6, C5, B2"
Veterinary Medicine,Veterinary Medicine,289,4.32,52.84,True,1,admitted,"C5, C4, C5, C5, C5"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,291,2.91,50.88,True,1,admitted,"C6, C4, C4, C6, C6"
Education,Educational Management,273,16.97,67.89,True,1,admitted,"B2, C4, B2, B2, B3"
Arts,Performing Arts,361,0.39,62.31,True,1,admitted,"C5, A1, A1, C4, B2"
Veterinary Medicine,Veterinary Medicine,311,7.8,60.27,True,2,admitted,"C4, B3, C5, B3, C6"
Agriculture,Forest Resources Management,315,25.63,79.0,True,1,admitted,"C6, C5, C6, B2, A1"
Clinical Sciences,Nursing Science,356,19.93,79.23,True,1,admitted,"A1, C5, C4, B3, C5"
Management Sciences,Finance,187,12.72,53.7,True,2,admitted,"A1, C4, A1, B3, B2"
Management Sciences,Industrial Relations and Personnel Management,248,11.36,56.76,True,1,admitted,"A1, C5, C4, C6, B3"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,187,16.73,56.11,True,1,admitted,"B3, B3, A1, B2, C6"
Environmental Sciences,Surveying and Geo-informatics,378,10.34,74.39,True,1,admitted,"C6, A1, B2, A1, B3"
Environmental Sciences,Quantity Surveying,312,18.74,72.94,True,2,admitted,"A1, B3, C6, A1, C6"
Education,Counsellor Education,342,2.28,61.43,True,1,admitted,"C4, B2, B2, A1, C5"
Management Sciences,Accounting,272,11.82,59.82,True,2,admitted,"C6, B3, C4, C5, B2"
Veterinary Medicine,Veterinary Medicine,296,3.06,57.26,True,1,admitted,"A1, B3, B3, B2, B3"
Social Sciences,Political Science,221,8.5,52.92,True,1,admitted,"A1, C5, A1, A1, C5"
Veterinary Medicine,Veterinary Medicine,220,20.75,63.45,True,1,admitted,"C5, C4, C5, A1, B2"
Law,Law,271,4.45,51.92,True,1,admitted,"A1, C6, B3, C5, C6"
Arts,French,224,24.17,69.37,True,2,admitted,"A1, A1, B2, C5, B3"
Communication and Information Sciences,Telecommunication Science,257,2.32,48.45,True,2,not admitted,"C4, C5, C6, C4, A1"
Environmental Sciences,Urban and Regional Planning,361,27.0,87.72,True,2,admitted,"B3, C5, A1, C4, B3"
Agriculture,Crop Protection,201,5.14,46.66,True,1,not admitted,"B3, B3, C4, A1, B3"
Arts,Linguistics and Nigerian Languages,391,21.91,86.38,True,2,admitted,"B3, A1, C4, C6, B2"
Law,Law,389,7.25,73.08,True,2,admitted,"B2, A1, B3, C5, A1"
Management Sciences,Public Administration,145,13.26,42.58,True,1,not admitted,"C5, C6, C6, C6, C4"
Education,Arts Education,263,23.88,73.95,True,1,admitted,"B2, A1, B3, B3, B3"
Social Sciences,Psychology,326,24.25,82.2,True,1,admitted,"C4, C5, A1, A1, A1"
Education,Counsellor Education,159,3.93,42.2,True,1,not admitted,"A1, A1, B3, A1, B3"
Arts,Performing Arts,330,12.1,66.95,True,1,admitted,"C6, C5, C5, B2, B3"
Law,Law,141,19.4,50.62,True,1,not admitted,"B3, C4, C6, C6, B2"
Life Sciences,Biochemistry,241,16.05,62.97,True,1,admitted,"C5, B3, A1, B3, A1"
Management Sciences,Public Administration,186,5.5,42.75,True,1,not admitted,"B3, C5, B3, C4, C5"
Basic Medical Sciences,Biomedical Science,242,16.18,62.83,True,1,admitted,"A1, C5, C4, B3, A1"
Social Sciences,Social Work,266,5.51,56.36,True,1,admitted,"A1, B2, B3, B2, B3"
Veterinary Medicine,Veterinary Medicine,162,10.84,45.89,True,2,not admitted,"A1, B3, C6, C6, B2"
Veterinary Medicine,Veterinary Medicine,229,5.28,51.51,True,2,admitted,"B2, A1, A1, B3, C4"
Social Sciences,Sociology,158,28.0,62.95,True,1,not admitted,"B2, C5, A1, B3, C6"
Basic Medical Sciences,Physiology,269,16.61,67.44,True,1,admitted,"A1, B3, B3, B2, B3"
Management Sciences,Accounting,149,26.49,60.31,True,1,not admitted,"C5, C4, B2, A1, C5"
Law,Law,367,20.02,78.69,True,1,admitted,"C6, A1, C5, C5, C6"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,233,0.36,45.88,True,1,not admitted,"C6, A1, B3, B3, A1"
Arts,Yoruba,144,20.08,54.08,True,2,not admitted,"B3, C4, B2, C5, A1"
Engineering and Technology,Chemical Engineering,275,28.48,75.66,True,2,admitted,"C6, C5, C5, B3, C4"
Physical Sciences,Geology,399,11.5,76.97,True,2,admitted,"A1, A1, C4, C4, C6"
Law,Law,294,28.93,78.48,True,1,admitted,"C6, B2, C6, C4, C5"
Life Sciences,Zoology,191,1.54,40.22,True,1,not admitted,"C5, C6, C4, B2, A1"
Law,Law,290,28.11,82.36,True,1,admitted,"A1, B3, B2, B3, A1"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,302,23.92,76.87,True,1,admitted,"B3, A1, B2, C5, C6"
Engineering and Technology,Chemical Engineering,166,19.94,54.29,True,1,not admitted,"C6, C4, B3, C6, B2"
Social Sciences,Geography,361,11.25,72.38,True,2,admitted,"C5, A1, B2, C4, B3"
Physical Sciences,Industrial Chemistry,163,27.66,65.63,True,2,not admitted,"B3, A1, A1, C4, B2"
Life Sciences,Plant Biology,357,27.23,86.25,True,1,admitted,"C4, C5, A1, C5, C4"
Physical Sciences,Industrial Chemistry,259,18.74,65.11,True,2,admitted,"A1, C6, C5, C6, B2"
Life Sciences,Microbiology,243,27.29,73.67,True,2,admitted,"B3, C4, C4, A1, B3"
Life Sciences,Plant Biology,145,3.0,33.52,True,1,not admitted,"C6, C6, C5, B3, C4"
Pharmaceutical Sciences,Pharmacy,144,4.21,36.61,True,2,not admitted,"B2, B3, C5, B3, C6"
Veterinary Medicine,Veterinary Medicine,291,18.78,71.16,True,1,admitted,"C4, A1, A1, C6, B3"
Environmental Sciences,Surveying and Geo-informatics,235,28.72,74.5,True,1,admitted,"B2, C5, C4, B2, A1"
Basic Medical Sciences,Biomedical Science,183,21.08,61.95,True,2,admitted,"B2, A1, B2, B3, B2"
Environmental Sciences,Surveying and Geo-informatics,203,18.37,59.74,True,1,admitted,"B2, C5, C4, B2, B2"
Management Sciences,Business Administration,186,21.2,63.25,True,1,admitted,"B2, A1, A1, A1, B3"
Social Sciences,Psychology,356,24.47,85.37,True,1,admitted,"C5, B2, A1, C4, B2"
Arts,Performing Arts,328,29.92,86.52,True,2,admitted,"C4, B2, C4, C4, B2"
Basic Medical Sciences,Biomedical Science,193,10.69,50.02,True,1,admitted,"C4, C6, C5, A1, A1"
Law,Law,243,29.58,75.16,True,1,admitted,"C4, B3, B2, C4, C4"
